1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
1184	-0.494707	136.350936	0.005342	30
1185	-0.086369	136.287310	0.002925	30
1186	-0.004346	136.223763	0.000029	29
1187	-0.302174	136.160295	0.007860	31
1188	-0.827498	136.096905	0.007071	30
1189	-0.039090	136.033594	0.001319	29
1190	-0.315145	135.970362	0.005005	30
1191	-0.468762	135.907208	0.001824	29
1192	-0.359214	135.844133	0.003140	29
1193	-0.809331	135.781135	0.009667	30
1194	0.000000	135.718215	0.000000	29
1195	-0.287691	135.655373	0.006183	31
1196	-0.688782	135.592608	0.005180	30
1197	0.000000	135.529921	0.000000	29
1198	-0.021321	135.467311	0.001091	31
1199	-0.830199	135.404778	0.010064	31
1200	-0.729468	135.342322	0.006302	29
1201	-0.628277	135.279942	0.004484	31
1202	-0.018559	135.217640	0.000486	30
1203	-0.112256	135.155413	0.003627	29
1204	-0.625982	135.093263	0.008428	30
1205	-0.258442	135.031190	0.008001	29
1206	-0.417581	134.969192	0.004314	29
1207	-0.620030	134.907270	0.011309	31
1208	-0.223808	134.845424	0.003796	28
1209	-0.765585	134.783653	0.004415	28
1210	0.000000	134.721958	0.000000	25
1211	0.000000	134.660338	0.000000	30
1212	-0.627235	134.598793	0.004791	29
1213	-0.571821	134.537323	0.009503	29
1214	-0.864739	134.475927	0.011791	29
1215	-0.258169	134.414607	0.006547	29
1216	0.000000	134.353361	0.000000	25
1217	-0.934671	134.292189	0.017010	30
1218	-0.790059	134.231092	0.009548	30
1219	-0.645024	134.170068	0.004406	30
1220	0.000000	134.109119	0.000000	26
1221	-0.625612	134.048243	0.004740	28
1222	0.000000	133.987441	0.000000	30
1223	-0.628588	133.926713	0.004139	29
1224	-0.757566	133.866057	0.011212	29
1225	-0.643871	133.805475	0.011116	31
1226	-1.230084	133.744966	0.018532	29
1227	-0.017247	133.684530	0.000068	29
1228	-0.891243	133.624167	0.006361	29
1229	-0.545207	133.563877	0.004019	29
1230	-0.000000	133.503658	0.000000	29
1231	-0.901026	133.443513	0.006128	29
1232	-0.554443	133.383439	0.004519	29
1233	-0.608403	133.323437	0.006651	30
1234	-0.405593	133.263508	0.016382	29
1235	-0.973998	133.203650	0.017151	29
1236	-0.729893	133.143864	0.006297	30
1237	-0.839601	133.084149	0.019143	30
1238	-0.570116	133.024506	0.005556	30
1239	-0.908015	132.964934	0.006196	30
1240	-0.679290	132.905433	0.004896	29
1241	-1.169303	132.846003	0.013847	30
1242	-0.189237	132.786643	0.003611	28
1243	-0.857074	132.727355	0.010480	29
1244	-0.000000	132.668137	0.000000	29
1245	-0.739014	132.608989	0.006461	29
1246	0.000000	132.549912	0.000000	30
1247	-0.877899	132.490904	0.010872	29
1248	-0.000001	132.431967	0.000000	29
1249	-0.500640	132.373100	0.005030	29
1250	0.000000	132.314302	0.000000	29
1251	-0.879759	132.255574	0.005379	28
1252	-0.014358	132.196916	0.000692	29
1253	-0.946272	132.138326	0.017262	29
1254	-0.363876	132.079806	0.003141	29
1255	0.000000	132.021355	0.000000	29
1256	-0.000000	131.962973	0.000000	28
1257	-0.084038	131.904660	0.001556	27
1258	-0.767192	131.846415	0.009601	29
1259	-0.257642	131.788239	0.003513	30
1260	-0.581264	131.730131	0.004822	29
1261	-0.687942	131.672092	0.006154	28
1262	-0.079985	131.614121	0.002877	28
1263	-0.229740	131.556217	0.004292	29
1264	-0.694903	131.498382	0.004215	29
1265	-0.225094	131.440614	0.003687	28
1266	-1.037247	131.382914	0.025829	29
