1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
158	-0.235462	356.467665	0.004610	31
159	-0.142219	355.644414	0.003667	28
160	-0.136330	354.826213	0.003179	30
161	-1.028062	354.013012	0.012983	30
162	-0.000201	353.204763	0.000011	30
163	-0.000000	352.401415	0.000000	30
164	-0.964239	351.602922	0.012980	29
165	-1.038015	350.809235	0.013332	29
166	-0.175359	350.020308	0.003100	29
167	-0.788871	349.236095	0.013598	30
168	-0.021387	348.456550	0.000777	31
169	-1.074824	347.681627	0.010506	30
170	-0.000000	346.911283	0.000000	30
171	-0.848682	346.145474	0.011145	31
172	-1.097693	345.384157	0.006813	30
173	-0.391995	344.627288	0.004503	30
174	-0.936994	343.874826	0.023352	31
175	-1.018849	343.126729	0.018272	30
176	-0.928965	342.382957	0.009122	31
177	-1.117408	341.643469	0.013306	30
178	-0.592510	340.908224	0.010319	31
179	-0.626245	340.177184	0.005062	30
180	-0.143178	339.450309	0.003055	30
181	-0.216153	338.727561	0.004254	30
182	-0.825850	338.008902	0.014542	30
183	-0.630767	337.294295	0.005125	31
184	-0.864861	336.583703	0.011439	30
185	-1.054265	335.877089	0.025994	30
186	-0.853082	335.174416	0.004729	31
187	-0.069457	334.475651	0.002529	31
188	-0.375892	333.780756	0.013635	30
189	-0.661807	333.089698	0.014585	30
190	-0.906940	332.402443	0.008263	31
191	-0.000000	331.718955	0.000000	26
192	-0.915160	331.039203	0.017137	30
193	-0.000000	330.363153	0.000000	27
194	-0.231686	329.690771	0.003957	29
195	-0.546336	329.022027	0.010518	29
196	-1.038104	328.356888	0.022024	31
197	-0.001001	327.695322	0.000138	29
198	-0.283214	327.037299	0.003765	29
199	-0.968057	326.382787	0.009779	30
200	-0.551885	325.731758	0.007221	30
201	-0.038882	325.084179	0.001935	30
202	-0.059807	324.440023	0.002810	29
203	-0.000000	323.799258	0.000000	29
204	-1.050218	323.161858	0.008396	27
205	-0.070117	322.527792	0.000875	31
206	-0.524300	321.897034	0.006225	30
207	-0.000067	321.269554	0.000019	29
208	-1.026967	320.645325	0.021530	29
209	-0.611008	320.024320	0.006155	29
210	-1.304975	319.406512	0.024245	29
211	-1.189228	318.791875	0.016906	30
212	-1.177587	318.180381	0.039939	29
213	-1.099062	317.572005	0.005866	30
214	-0.000000	316.966721	0.000000	29
215	-0.081927	316.364504	0.001411	29
216	-0.000000	315.765329	0.000000	29
217	-0.229513	315.169170	0.003250	28
218	-0.010054	314.576003	0.000573	30
219	-0.001158	313.985804	0.000041	30
220	-1.218212	313.398548	0.007568	28
221	-0.645656	312.814213	0.007853	29
222	-0.426555	312.232773	0.003911	29
223	-1.124138	311.654207	0.017327	31
224	-0.174643	311.078491	0.005820	30
225	-0.000000	310.505602	0.000000	29
226	-0.765786	309.935518	0.011842	28
227	-0.000000	309.368217	0.000000	26
228	-1.171440	308.803676	0.022453	27
229	-0.544927	308.241874	0.013844	29
230	-0.109255	307.682789	0.003750	26
231	-0.000071	307.126400	0.000025	29
232	-0.054079	306.572687	0.002034	32
233	-0.746938	306.021627	0.018525	29
234	-0.310900	305.473201	0.002977	28
235	-0.894979	304.927388	0.009785	31
236	-0.976542	304.384168	0.021381	29
237	-0.202408	303.843521	0.004351	28
238	-0.549854	303.305427	0.011576	30
239	-0.395616	302.769867	0.006020	29
240	-0.020838	302.236821	0.000901	31
241	-0.800580	301.706270	0.014230	29
242	-0.842272	301.178196	0.005936	30
243	-0.518907	300.652580	0.009291	29
244	-0.326337	300.129402	0.005283	29
245	-0.687747	299.608645	0.018135	31
246	-0.999773	299.090291	0.012020	30
247	-1.163550	298.574321	0.010757	29
248	-0.000002	298.060718	0.000001	29
249	-0.000000	297.549465	0.000000	29
250	-0.056106	297.040543	0.002325	29
251	-0.636458	296.533936	0.009262	29
252	-0.266522	296.029626	0.003409	28
253	-0.727917	295.527597	0.008639	31
254	-0.000000	295.027832	0.000000	29
255	-0.600634	294.530315	0.005369	29
256	-0.762900	294.035028	0.006237	28
257	-0.670471	293.541956	0.006676	29
258	-1.084886	293.051083	0.010906	31
259	-0.967243	292.562393	0.014008	29
260	-0.000000	292.075870	0.000000	29
261	-0.922351	291.591498	0.005161	29
262	-0.697619	291.109263	0.008619	26
263	-0.096754	290.629149	0.002732	29
264	-0.043624	290.151140	0.002590	29
265	-0.727061	289.675222	0.005901	29
266	-0.739670	289.201380	0.008159	31
267	-0.562415	288.729600	0.005388	29
268	-0.077796	288.259866	0.002622	29
269	-1.102145	287.792165	0.009331	28
270	-0.472801	287.326481	0.008819	29
271	-0.806105	286.862802	0.010581	30
272	-0.327714	286.401113	0.004305	29
273	-0.827071	285.941400	0.011767	30
274	-0.822382	285.483649	0.010724	30
275	-0.001141	285.027847	0.000114	30
276	-0.989681	284.573981	0.022104	29
277	-0.651958	284.122037	0.006104	28
278	-0.408016	283.672002	0.007562	29
279	-0.000000	283.223863	0.000000	29
280	-0.956833	282.777607	0.014961	30
281	-0.000000	282.333221	0.000000	29
282	-0.228120	281.890692	0.003978	29
283	-0.000000	281.450008	0.000000	29
284	-0.683742	281.011157	0.005547	31
285	-0.410287	280.574125	0.009157	29
286	-0.738194	280.138901	0.010390	30
287	-0.777232	279.705473	0.012753	31
288	-1.093887	279.273829	0.014678	29
289	-0.554049	278.843956	0.006137	30
290	-0.210010	278.415844	0.004339	29
291	-0.000000	277.989479	0.000000	29
292	-0.827236	277.564851	0.012504	30
293	-0.977334	277.141949	0.010632	31
294	-0.986109	276.720761	0.011852	30
295	-1.017176	276.301275	0.013872	29
296	-0.000000	275.883480	0.000000	28
297	-0.500929	275.467366	0.014692	30
298	-0.976569	275.052922	0.019025	29
299	-0.874599	274.640136	0.006481	30
300	-0.146447	274.228998	0.001711	29
301	-0.934886	273.819497	0.013210	32
302	-0.552452	273.411623	0.008916	29
303	-0.000000	273.005365	0.000000	26
304	-0.289193	272.600712	0.005069	28
305	-0.000000	272.197655	0.000000	29
306	-0.000000	271.796184	0.000000	27
307	-0.000246	271.396287	0.000058	30
308	-0.002290	270.997956	0.000069	30
309	-0.000000	270.601180	0.000000	29
310	-0.000000	270.205949	0.000000	30
311	-0.618116	269.812254	0.011726	30
312	-0.577598	269.420085	0.007669	30
313	-0.617852	269.029432	0.011808	28
314	-0.000000	268.640287	0.000000	31
315	-0.714477	268.252638	0.012824	30
316	-0.291840	267.866478	0.005653	30
317	-0.140673	267.481796	0.005678	29
318	-0.876316	267.098584	0.006867	29
319	-0.938921	266.716833	0.007040	30
320	-0.406355	266.336533	0.007061	30
321	-0.000000	265.957676	0.000000	30
322	-1.039473	265.580253	0.013330	30
323	-0.186763	265.204254	0.002814	30
324	-0.829551	264.829672	0.008236	29
325	-0.755216	264.456497	0.008220	30
326	-0.975536	264.084721	0.018258	27
327	-0.503487	263.714335	0.008851	30
328	-0.000000	263.345332	0.000000	26
329	-0.001228	262.977702	0.000122	29
330	-0.960761	262.611438	0.014937	28
331	-0.349173	262.246531	0.006529	29
332	-0.693326	261.882973	0.005227	31
333	-0.489864	261.520756	0.010619	29
334	-0.847134	261.159871	0.007194	30
335	-0.219767	260.800312	0.004052	30
336	-1.209116	260.442070	0.018085	30
337	-0.526613	260.085137	0.008155	29
338	-0.325779	259.729505	0.009519	29
339	-0.092532	259.375167	0.000604	28
340	-0.000000	259.022116	0.000000	31
341	-0.000000	258.670343	0.000000	29
342	-1.143147	258.319841	0.005472	27
343	-0.987413	257.970602	0.011418	29
344	-1.002472	257.622620	0.014507	27
345	-0.942137	257.275887	0.021516	28
346	-0.952573	256.930396	0.005903	29
347	-1.006176	256.586139	0.029063	30
348	-0.000000	256.243109	0.000000	30
349	-0.800849	255.901300	0.008339	30
350	-0.073433	255.560703	0.003568	26
351	-0.785460	255.221313	0.014697	30
352	-0.710143	254.883122	0.006437	29
353	-0.814590	254.546124	0.014842	30
354	-0.000764	254.210311	0.000107	31
355	-0.658455	253.875677	0.003723	29
356	-0.547297	253.542215	0.008328	30
357	-1.034319	253.209918	0.013684	28
358	-0.000002	252.878781	0.000001	28
359	-0.198136	252.548795	0.002962	31
360	-0.000600	252.219956	0.000043	29
361	-0.042807	251.892255	0.001802	27
362	-0.819968	251.565688	0.011368	32
363	-0.871961	251.240247	0.007239	30
364	-0.959315	250.915926	0.016044	29
365	-0.863724	250.592720	0.014697	30
366	-0.037387	250.270621	0.000279	29
367	-0.507406	249.949624	0.006392	31
368	-0.020411	249.629723	0.001294	29
369	-0.108071	249.310911	0.005520	30
370	-0.659426	248.993182	0.011190	28
371	-0.662935	248.676531	0.008588	29
372	-0.000000	248.360952	0.000000	30
373	-0.980236	248.046438	0.012813	29
374	-0.000083	247.732984	0.000012	30
375	-0.000882	247.420584	0.000108	30
376	-1.101943	247.109233	0.043982	29
377	-0.952032	246.798924	0.005083	30
378	-0.000000	246.489652	0.000000	30
379	-0.012884	246.181412	0.001269	27
380	-0.000000	245.874197	0.000000	30
381	-1.159204	245.568002	0.005237	30
382	-0.849515	245.262822	0.005616	29
383	-0.004935	244.958652	0.000864	28
384	-1.052599	244.655485	0.013277	29
385	-0.000000	244.353317	0.000000	31
386	-0.548325	244.052142	0.009517	30
387	-0.270929	243.751955	0.004563	30
388	-0.259987	243.452750	0.006096	31
389	-0.141941	243.154523	0.002862	29
390	-0.734361	242.857268	0.010450	29
391	-1.235043	242.560980	0.012312	29
392	-0.268516	242.265654	0.006021	28
393	-0.211388	241.971285	0.004468	30
394	-0.043096	241.677868	0.002484	31
395	-0.823767	241.385397	0.007914	29
396	-0.967518	241.093869	0.009782	30
397	-0.185639	240.803278	0.005487	28
398	-0.406761	240.513619	0.006757	30
399	-0.804559	240.224887	0.008859	29
400	-1.053480	239.937077	0.007399	30
401	-1.058061	239.650186	0.012963	28
402	-0.833109	239.364207	0.012163	31
403	-0.037964	239.079136	0.001589	29
404	-1.033603	238.794969	0.013673	29
405	-1.058814	238.511701	0.044984	28
406	-0.138201	238.229327	0.003115	30
407	-0.015597	237.947843	0.001031	31
408	-0.000000	237.667244	0.000000	27
409	-0.494612	237.387526	0.006578	29
410	-0.776520	237.108684	0.007343	29
411	-0.740648	236.830714	0.006137	29
412	-0.382562	236.553610	0.002513	31
413	-0.946578	236.277370	0.014737	29
414	-0.839723	236.001989	0.063505	28
415	-0.770918	235.727461	0.011325	31
416	-0.698060	235.453784	0.006335	29
417	-0.718304	235.180952	0.006671	29
418	-0.048993	234.908962	0.000318	29
419	-0.841671	234.637809	0.010809	29
420	-0.617816	234.367488	0.006042	31
421	-1.149056	234.097997	0.038732	29
422	-0.352120	233.829331	0.003879	30
423	-0.000000	233.561485	0.000000	28
424	-0.850162	233.294456	0.011089	27
425	-0.819682	233.028239	0.004277	31
426	-0.016091	232.762831	0.000352	30
427	-0.953643	232.498228	0.015985	27
428	-0.525485	232.234425	0.004748	32
429	-1.002282	231.971419	0.024094	26
430	-0.797468	231.709205	0.007416	29
431	-0.144616	231.447781	0.003119	30
432	-0.896835	231.187141	0.007431	29
433	-0.304143	230.927283	0.004064	31
434	-1.220665	230.668202	0.025175	29
435	-0.682992	230.409895	0.008598	29
436	-0.985593	230.152358	0.009446	27
437	-0.025238	229.895587	0.002461	29
438	-0.956523	229.639578	0.017171	31
439	-0.329285	229.384329	0.008102	27
440	-0.053159	229.129834	0.002295	29
441	-0.007008	228.876091	0.000827	30
442	-0.023175	228.623096	0.000930	29
443	-0.339846	228.370846	0.001445	29
444	-0.610554	228.119336	0.004560	30
445	-0.925897	227.868563	0.008244	28
446	-1.071088	227.618525	0.013255	30
447	-0.000671	227.369216	0.000104	29
448	-0.204125	227.120635	0.001975	28
449	-0.000000	226.872777	0.000000	27
450	-0.004610	226.625638	0.000229	29
451	-0.873956	226.379217	0.006908	30
452	-0.420312	226.133509	0.003468	29
453	-0.000000	225.888510	0.000000	28
454	-0.255716	225.644218	0.004483	31
455	-0.746094	225.400630	0.020840	28
456	-0.000000	225.157741	0.000000	29
457	-0.986229	224.915549	0.024128	29
458	-0.809248	224.674051	0.009373	28
459	-0.000000	224.433242	0.000000	31
460	-0.123469	224.193121	0.002112	29
461	-1.013933	223.953684	0.004190	29
462	-0.896396	223.714927	0.005665	28
463	-0.341725	223.476848	0.003942	29
464	-0.000014	223.239444	0.000001	30
465	-1.192744	223.002710	0.007735	30
466	-0.000000	222.766645	0.000000	30
467	-0.116347	222.531245	0.004749	28
468	-0.798405	222.296508	0.024398	32
469	-1.087053	222.062429	0.032370	30
470	-0.543499	221.829007	0.008244	30
471	-0.628200	221.596238	0.005843	29
472	-0.945891	221.364119	0.005275	30
473	-0.788161	221.132647	0.005047	31
474	-0.867687	220.901820	0.007769	29
475	-0.890213	220.671634	0.016532	29
476	-0.972246	220.442086	0.011436	31
477	-0.000000	220.213174	0.000000	30
478	-0.109176	219.984895	0.002781	29
479	-0.144256	219.757246	0.003857	29
480	-0.872260	219.530224	0.010865	29
481	-0.000000	219.303826	0.000000	30
482	-0.000001	219.078050	0.000000	31
483	-0.000035	218.852893	0.000011	30
484	-0.538378	218.628352	0.001937	30
485	-0.768766	218.404424	0.015056	29
486	-0.000001	218.181106	0.000000	30
487	-0.938716	217.958397	0.013060	31
488	-0.781464	217.736292	0.015507	29
489	-0.000000	217.514790	0.000000	27
490	-0.000000	217.293888	0.000000	28
491	-0.387466	217.073584	0.004722	30
492	-0.057790	216.853873	0.002021	30
493	-0.936297	216.634755	0.019290	32
494	-0.000000	216.416227	0.000000	29
495	-1.192119	216.198285	0.010250	33
496	-0.636245	215.980927	0.011096	31
497	-0.979687	215.764151	0.009551	31
498	-0.334287	215.547955	0.008034	31
499	-1.080544	215.332335	0.010920	31
500	-0.231950	215.117289	0.007238	31
501	-0.239162	214.902815	0.003604	31
502	-0.000000	214.688911	0.000000	29
503	-0.961106	214.475573	0.007212	32
504	-0.515543	214.262800	0.011033	32
505	-0.566706	214.050588	0.009912	32
506	-0.387890	213.838936	0.007427	31
507	-0.935566	213.627842	0.018360	31
508	-0.024347	213.417302	0.000929	31
509	-0.659984	213.207314	0.014316	32
510	-1.007437	212.997877	0.016095	31
511	-0.000062	212.788987	0.000012	29
512	-0.447513	212.580642	0.006883	32
