img,csf,gm,wm,
1113,0.1642838347513376,0.35426143669380195,0.09231055496115737,
1110,0.15322382389093753,0.663550127511535,0.15077167164647035,
1039,0.0029366522164732205,0.7618701970605126,0.7399340243323479,
1005,0.006741079428698348,0.0824672204859158,0.049503267765577195,
1025,0.00616320552401148,0.07868093587327998,0.04474523807610594,
1122,0.14728193134433998,0.4131418584746588,0.10954491694838973,
1119,0.030671806832876115,0.6612617452578056,0.7013060069524082,
1128,0.010383222897738917,0.5873569243421796,0.6363276852029934,
1023,0.0020828511918537375,0.7390361477050441,0.7311959615112148,
1003,0.002952073982588788,0.7823983365364982,0.7569527126685978,
1101,0.0037612795251815937,0.7362574310300714,0.7188496752795377,
1024,0.009374784586751223,0.8288816921180011,0.7183594600255448,
1019,0.02850049652432969,0.27239547447150575,0.1377315261872864,
1038,0.11578839380364532,0.8166013421876166,0.6643943337037714,
1018,0.0653128779680438,0.32656605280199175,0.09723574265608398,
1004,0.2831475394495198,0.07973718269165786,0.05425760877650965,
1116,0.004519989176079135,0.0807292437406264,0.05107899285972242,
1104,0.05812242070935904,0.2723241150434544,0.15314427237887202,
1125,0.6512878754357242,0.8165652499221994,0.6592843424395114,
1107,0.14692710300544973,0.4217715026644006,0.11454172598910645,
