img,csf,gm,wm,
1005,0.9315859725761436,0.8078890576717099,0.8908142900910239,
1003,0.7548864994026284,0.8383085402045469,0.9283198501729969,
1004,0.829828756768643,0.8526164523493286,0.9233021196456844,
1125,0.4914304346940023,0.8153183444565686,0.8381940786103331,
1122,0.9127706306871666,0.7444654877566341,0.819593724375905,
1113,0.8517009951400139,0.8318782427251823,0.9158809971755354,
1101,0.8891351757177076,0.8496275500459185,0.913938432708959,
1107,0.8028535334770008,0.8079323283852046,0.8682964778439078,
1019,0.785138810489044,0.8329572367937157,0.9164884042544659,
1018,0.8575137446548564,0.8429262759523595,0.9200791295746785,
1039,0.8053294623878895,0.8159099157040237,0.9117591259130224,
1038,0.8544023610427939,0.8331831040097633,0.9195167035046189,
1119,0.89690957649752,0.7740805581491856,0.8590100527484897,
1110,0.8584165396774854,0.8491520615667587,0.9009082180944087,
1128,0.5783861395615967,0.7847868467118334,0.8206200632409075,
1116,0.9060373567155318,0.8552062562844045,0.8957190595696628,
1104,0.8535562416263762,0.7938485412716051,0.8381717474803172,
1025,0.9206215943491423,0.8421575566755753,0.8952503320407491,
1024,0.8431341536709581,0.8532439952551171,0.9105503125136295,
1023,0.756450479981269,0.8376333001480394,0.9224307441766919,
