img,csf,gm,wm,
1113,0.8438023747137833,0.8891880601678424,0.8657034580767409,
1110,0.8308781375408161,0.8825840187751292,0.8663935247604125,
1039,0.6908809891808346,0.8882595020220103,0.8566464234913432,
1005,0.926422381616955,0.896118985293896,0.882088767271947,
1025,0.9243152781746193,0.8948068580771794,0.8846934058160714,
1122,0.8919218190714083,0.8741001225258084,0.8615585480687866,
1119,0.8824357264406936,0.8637345257693689,0.8467498355199018,
1128,0.8339727287095708,0.8791429173652188,0.8498347752944004,
1023,0.589964416481873,0.9024889591221678,0.8815447374376921,
1003,0.6030927835051546,0.8978438388109014,0.8708053052527632,
1101,0.8533391137845698,0.8994028173362484,0.8711085856920353,
1024,0.7086092715231788,0.9035396121723293,0.8811761528462425,
1019,0.6280410469272455,0.8740814277663533,0.8531039025775607,
1038,0.8208233264553665,0.8917532750992074,0.8679935294288496,
1018,0.7712510695286634,0.8959039998562334,0.87068030266818,
1004,0.7131672597864769,0.8925164182210072,0.8722483436631759,
1116,0.8846775271207649,0.8950498162889813,0.8752578313657097,
1104,0.7988429891319611,0.878633362284301,0.850324910398034,
1125,0.9148645685221735,0.8877446806761773,0.8666144530806916,
1107,0.8139338494018297,0.8625071347196391,0.8426506100704826,
