1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.048457	627.201626	0.001416	1099.4
1	-1.217040	623.504937	0.009986	7.6
2	-0.000011	619.865785	0.000002	8.0
3	-0.804783	616.282728	0.006127	7.9
4	-1.300624	612.754375	0.018590	11.6
5	-1.392929	609.279381	0.013843	7.6
6	-0.481004	605.856447	0.016028	7.5
7	-0.020221	602.484317	0.001113	7.4
8	-1.293952	599.161779	0.009147	7.6
9	-0.106336	595.887656	0.000948	11.3
10	-1.261061	592.660813	0.015038	8.0
11	-1.000676	589.480151	0.012130	8.1
12	-1.405228	586.344606	0.013910	7.8
13	-1.428920	583.253145	0.011059	8.4
14	-0.510588	580.204771	0.008355	11.0
15	-0.991206	577.198517	0.011151	8.1
16	-1.463781	574.233444	0.020877	7.7
17	-0.087707	571.308645	0.002514	8.3
18	-0.566384	568.423237	0.009521	7.4
19	-0.801685	565.576365	0.005750	11.1
20	-1.134701	562.767201	0.008760	7.9
21	-0.849009	559.994938	0.007959	8.7
22	-0.929799	557.258797	0.011719	7.8
23	-0.000000	554.558018	0.000000	7.9
24	-0.000173	551.891865	0.000023	11.8
25	-1.044952	549.259621	0.013709	7.5
26	-0.318829	546.660592	0.010781	7.7
27	-0.731079	544.094102	0.003686	7.7
28	-0.000000	541.559494	0.000000	7.8
29	-0.077912	539.056129	0.000383	11.7
30	-1.484736	536.583387	0.010532	8.3
31	-1.409857	534.140663	0.018120	8.2
32	-1.019319	531.727370	0.011536	8.6
33	-0.467980	529.342935	0.005598	7.8
34	-0.000002	526.986802	0.000000	14.2
35	-0.716870	524.658430	0.006772	9.0
36	-0.019537	522.357290	0.001206	7.9
37	-1.285437	520.082868	0.012175	7.9
38	-0.609157	517.834665	0.013637	9.3
39	-1.091069	515.612193	0.017700	10.6
40	-1.332232	513.414976	0.019462	7.5
41	-1.218077	511.242551	0.014653	7.4
42	-0.831799	509.094468	0.006292	7.5
43	-1.121318	506.970285	0.014138	10.7
44	-0.896933	504.869574	0.020470	8.3
45	-0.000000	502.791916	0.000000	7.9
46	-0.087262	500.736903	0.001946	7.8
47	-0.651768	498.704137	0.009280	7.9
48	-0.000152	496.693228	0.000020	10.6
49	-1.435410	494.703798	0.007836	7.9
50	-0.762000	492.735476	0.006007	7.8
51	-0.000000	490.787900	0.000000	8.2
52	-1.053686	488.860718	0.005646	7.8
53	-0.920576	486.953585	0.008646	11.8
54	-1.167217	485.066164	0.008826	8.2
55	-0.015689	483.198126	0.001556	7.9
56	-1.691610	481.349149	0.009320	7.9
57	-1.323798	479.518920	0.007226	7.9
58	-0.147443	477.707132	0.003155	11.0
59	-0.814564	475.913485	0.004682	8.0
60	-0.065575	474.137684	0.000310	8.2
61	-0.967531	472.379445	0.009914	8.0
62	-0.151885	470.638485	0.004241	8.5
63	-1.502694	468.914531	0.009608	12.3
64	-1.032925	467.207315	0.012535	8.1
65	-0.000000	465.516573	0.000000	8.0
66	-1.385555	463.842050	0.015134	8.1
67	-0.846432	462.183494	0.013318	8.0
68	-0.670202	460.540658	0.004342	11.4
69	-1.353851	458.913303	0.012761	8.6
70	-0.489707	457.301192	0.006889	8.7
71	-1.020910	455.704096	0.009083	10.0
72	-0.910261	454.121787	0.024717	10.7
73	-1.101264	452.554045	0.003372	10.7
74	-0.308423	451.000653	0.001345	8.1
75	-1.123409	449.461399	0.018076	8.3
76	-1.120761	447.936075	0.017132	8.8
77	-0.394908	446.424477	0.009874	12.3
78	-0.391120	444.926406	0.004564	8.8
79	-0.434500	443.441666	0.007643	8.0
80	-0.000000	441.970065	0.000000	8.8
81	-0.000000	440.511415	0.000000	7.8
82	-1.665779	439.065533	0.013911	13.7
83	-1.106594	437.632238	0.005113	8.8
84	-0.971158	436.211351	0.011806	8.6
85	-0.000000	434.802701	0.000000	9.2
86	-0.704470	433.406117	0.010784	12.1
87	-0.988856	432.021430	0.015376	8.8
88	-1.028415	430.648479	0.009122	8.9
89	-0.000026	429.287101	0.000005	8.5
90	-0.516965	427.937140	0.008211	9.0
91	-0.121262	426.598440	0.001177	13.0
92	-1.562358	425.270849	0.008159	9.1
93	-0.028219	423.954220	0.001625	8.8
94	-0.403106	422.648404	0.013584	9.6
95	-1.131299	421.353259	0.009480	12.4
96	-0.519484	420.068643	0.005422	8.7
97	-0.385577	418.794419	0.007074	8.2
98	-1.242363	417.530451	0.009002	7.9
99	-0.496127	416.276604	0.002112	7.9
100	-0.974526	415.032748	0.002837	12.1
101	-1.228906	413.798754	0.008665	8.2
102	-1.113579	412.574495	0.018018	8.4
103	-1.171444	411.359849	0.008613	8.8
104	-0.005651	410.154691	0.000128	11.6
105	-1.151409	408.958904	0.015457	9.6
106	-1.047776	407.772368	0.013391	8.2
107	-1.126653	406.594968	0.008795	9.0
108	-1.486989	405.426590	0.008019	8.1
109	-1.255409	404.267122	0.019619	13.7
110	-1.364220	403.116456	0.003811	8.0
111	-1.152684	401.974481	0.010921	8.7
112	-0.218406	400.841093	0.004479	8.1
113	-0.272839	399.716187	0.002542	10.5
114	-1.196543	398.599660	0.019007	9.0
115	-0.691406	397.491411	0.004837	7.5
116	0.000000	396.391342	0.000000	9.3
117	-1.153738	395.299353	0.018100	7.4
118	-0.621750	394.215350	0.006540	12.6
119	-0.125124	393.139238	0.000957	8.4
120	-0.226282	392.070924	0.002922	8.1
121	-0.356606	391.010316	0.003668	8.2
122	-1.402556	389.957325	0.014381	8.2
123	-0.772807	388.911862	0.007537	12.1
124	-0.003139	387.873839	0.000354	7.8
125	-1.431968	386.843173	0.016020	9.7
126	-1.483149	385.819777	0.024691	8.1
127	-0.000000	384.803569	0.000000	8.1
128	-0.533283	383.794468	0.004201	13.4
129	-0.000010	382.792393	0.000003	7.6
130	-0.445642	381.797264	0.008115	8.0
131	-0.298236	380.809005	0.002477	7.6
132	-0.000000	379.827537	0.000000	8.5
133	-0.978268	378.852786	0.004690	11.8
134	-0.276695	377.884678	0.004738	7.7
135	-0.578362	376.923138	0.002572	8.1
136	-1.171021	375.968095	0.003354	8.4
137	-0.374083	375.019479	0.003180	10.0
138	-0.843345	374.077218	0.007696	10.9
139	-1.124631	373.141244	0.013872	11.2
140	-0.399298	372.211489	0.003760	8.8
141	-1.260285	371.287887	0.015825	7.5
142	-0.708228	370.370370	0.007730	13.4
143	-0.823574	369.458876	0.017349	9.1
144	-1.292316	368.553338	0.007665	8.0
145	-0.002466	367.653696	0.000174	7.5
146	-1.270226	366.759885	0.013482	10.9
147	-0.002464	365.871846	0.000315	12.8
148	-0.018093	364.989518	0.001119	11.9
149	-1.143810	364.112841	0.007398	12.1
150	-1.329712	363.241757	0.019162	15.2
151	-0.718638	362.376208	0.005013	12.8
152	-1.149288	361.516137	0.011129	14.0
153	-0.000042	360.661488	0.000005	18.9
154	-0.915905	359.812206	0.010474	12.5
155	-0.012018	358.968236	0.000594	12.1
156	-1.174054	358.129524	0.008775	12.8
157	-0.497187	357.296018	0.009088	15.9
158	-0.000000	356.467665	0.000000	12.1
159	-1.585085	355.644414	0.019478	12.4
160	-1.383549	354.826213	0.012158	18.7
161	-1.519025	354.013012	0.013005	12.4
162	-0.594346	353.204763	0.004094	11.6
163	-0.110436	352.401415	0.004737	14.5
164	-1.000734	351.602922	0.006384	13.7
165	-0.117202	350.809235	0.004136	14.5
166	-1.331273	350.020308	0.014021	14.9
167	-0.743446	349.236095	0.006949	12.1
168	-0.000000	348.456550	0.000000	12.1
169	-0.202952	347.681627	0.003884	11.8
170	-1.378427	346.911283	0.009200	17.7
171	-0.000000	346.145474	0.000000	12.3
172	-1.412615	345.384157	0.022350	12.7
173	-0.423562	344.627288	0.010883	18.4
174	-1.187753	343.874826	0.022601	14.7
175	-1.272676	343.126729	0.012866	13.8
176	-0.000006	342.382957	0.000001	14.2
177	-0.581813	341.643469	0.012565	14.7
178	-1.260302	340.908224	0.010039	13.6
179	-0.435074	340.177184	0.004499	16.9
180	-1.260344	339.450309	0.004041	14.6
181	-1.564370	338.727561	0.015288	14.7
182	-0.857402	338.008902	0.008049	11.1
183	-0.004376	337.294295	0.000498	10.2
184	-0.850315	336.583703	0.011560	8.0
185	-0.262743	335.877089	0.004412	14.5
186	-0.272380	335.174416	0.002831	12.8
187	-1.312691	334.475651	0.020363	8.4
188	-0.000000	333.780756	0.000000	12.5
189	-1.159581	333.089698	0.005721	14.8
190	-1.377995	332.402443	0.011946	11.7
191	-0.807275	331.718955	0.004195	8.8
192	-0.000029	331.039203	0.000005	9.1
193	-0.571098	330.363153	0.012885	9.9
194	-1.204619	329.690771	0.012158	10.8
195	-0.750079	329.022027	0.006573	7.9
196	-0.066667	328.356888	0.000886	8.0
197	-0.005676	327.695322	0.000616	8.2
198	-0.055211	327.037299	0.001535	10.8
199	-1.175970	326.382787	0.007323	7.8
200	-0.924661	325.731758	0.003655	7.9
201	-0.446477	325.084179	0.005392	8.0
202	-1.139379	324.440023	0.025389	7.5
203	-0.125310	323.799258	0.001768	11.2
204	-0.824478	323.161858	0.005277	8.5
205	-1.376389	322.527792	0.007913	8.4
206	-0.009646	321.897034	0.000051	8.4
207	-0.000000	321.269554	0.000000	7.6
208	-0.001154	320.645325	0.000120	11.9
209	-1.069257	320.024320	0.014311	7.5
210	-0.199842	319.406512	0.003313	7.8
211	-1.384213	318.791875	0.008542	7.7
212	-1.154116	318.180381	0.005550	7.9
213	-0.719749	317.572005	0.002441	10.1
214	-0.205669	316.966721	0.003531	8.1
215	-1.387698	316.364504	0.009661	7.5
216	-0.351261	315.765329	0.005398	8.2
217	-0.000000	315.169170	0.000000	7.5
218	0.000000	314.576003	0.000000	10.7
219	-1.418507	313.985804	0.017585	8.0
220	-1.361152	313.398548	0.010638	8.3
221	-1.323377	312.814213	0.008266	8.8
222	-0.006589	312.232773	0.000685	7.9
223	-0.000262	311.654207	0.000035	11.4
224	-1.386773	311.078491	0.011114	9.2
225	-0.027318	310.505602	0.000587	7.8
226	-0.000006	309.935518	0.000001	8.2
227	-1.568802	309.368217	0.006888	8.4
228	-0.940183	308.803676	0.009243	13.1
229	-1.495663	308.241874	0.010895	8.2
230	-0.322325	307.682789	0.008244	8.6
231	-1.587119	307.126400	0.005829	8.4
232	-0.283359	306.572687	0.006536	9.5
233	-1.278078	306.021627	0.010327	10.3
234	-0.648956	305.473201	0.005392	8.7
235	-0.505490	304.927388	0.006662	8.4
236	-0.601811	304.384168	0.013251	8.0
237	-0.000000	303.843521	0.000000	12.1
238	-0.000000	303.305427	0.000000	8.5
239	-0.156374	302.769867	0.003515	8.0
240	-0.939617	302.236821	0.006895	8.0
241	-0.011342	301.706270	0.000963	9.1
242	-1.324971	301.178196	0.011324	13.0
243	-0.661694	300.652580	0.005716	7.9
244	-1.226354	300.129402	0.007870	8.0
245	-0.511524	299.608645	0.004359	8.3
246	-0.811094	299.090291	0.004384	8.8
247	-1.291159	298.574321	0.014646	10.8
248	-1.157801	298.060718	0.008981	8.0
249	-0.798028	297.549465	0.004284	8.7
250	-0.085688	297.040543	0.002204	8.7
251	-0.264076	296.533936	0.003513	12.0
252	-0.915711	296.029626	0.009856	8.0
253	-0.485333	295.527597	0.013992	8.3
254	-0.931715	295.027832	0.010769	8.4
255	-0.000006	294.530315	0.000001	8.4
256	-1.336255	294.035028	0.003886	12.8
257	-0.188838	293.541956	0.004442	8.0
258	-0.048359	293.051083	0.001902	8.1
